"Nº ONU (1)","Nome e Descrição (2)","Classe ou Subclasse de Risco (3)","Risco Subsi- diário (4)","Nº de Risco (5)","Grupo de Emb. (6)","Provisões Especiais (7)","Quant. Limitada por","","Embalagens e IBCs","","Tanques Portáteis e Contentores para Granéis",""
"0027","PÓLVORA NEGRA, granulada ou em pó †","1.1D","","","","","20","ZERO","P113","PP50","",""
"0028","PÓLVORA NEGRA, COMPRIMIDA ou PÓLVORA NEGRA, EM PASTILHAS †","1.1D","","","","","20","ZERO","P113","PP51","",""
"0029","DETONADORES, NÃO ELÉTRICOS para demolição †","1.1B","","","","","20","ZERO","P131","PP68","",""
"0030","DETONADORES, ELÉTRICOS para demolição †","1.1B","","","","","20","ZERO","P131","","",""
"0033","BOMBAS com carga de ruptura †","1.1F","","","","","20","ZERO","P130","","",""
"0034","BOMBAS com carga de ruptura †","1.1D","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0035","BOMBAS com carga de ruptura †","1.2D","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0037","BOMBAS, FOTO-ILUMINANTE †","1.1F","","","","","20","ZERO","P130","","",""
"0038","BOMBAS, FOTO-ILUMINANTES †","1.1D","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0039","BOMBAS, FOTO-ILUMINANTES †","1.2G","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0042","REFORÇADORES sem detonador †","1.1D","","","","","20","ZERO","P132 (a) ou (b)","","",""
"0043","RUPTORES, explosivos †","1.1D","","","","","20","ZERO","P133","PP69","",""
"0044","INICIADORES, TIPO CÁPSULA †","1.4S","","","","","ILIMITADA","ZERO","P133","","",""
"0048","CARGAS DE DEMOLIÇÃO †","1.1D","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0049","CARTUCHOS, ILUMINANTES †","1.1G","","","","","20","ZERO","P135","","",""
"0050","CARTUCHOS, ILUMINANTES †","1.3G","","","","","20","ZERO","P135","","",""
"0054","CARTUCHOS PARA SINALIZAÇÃO †","1.3G","","","","","20","ZERO","P135","","",""
"0055","ESTOJOS DE CARTUCHOS, VAZIOS, COM INICIADOR †","1.4S","","","","364","ILIMITADA","5 kg","P136","","",""
"0056","CARGAS DE PROFUNDIDADE †","1.1D","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0059","CARGAS, MOLDADAS sem detonador †","1.1D","","","","","20","ZERO","P137","PP70","",""
"0060","CARGAS, SUPLEMENTARES, EXPLOSIVAS †","1.1D","","","","","20","ZERO","P132 (a) ou (b)","","",""
"0065","CORDEL, DETONANTE, flexível †","1.1D","","","","","20","ZERO","P139","PP71
PP72","",""
"0066","CORDEL, ACENDEDOR †","1.4G","","","","","333","ZERO","P140","","",""
"0070","CORTA-CABOS, EXPLOSIVOS †","1.4S","","","","","ILIMITADA","ZERO","P134
LP102","","",""
"0072","CICLOTRIMETILENO  TRINITRAMINA  (CICLONITA;  HEXOGÊNIO;  RDX),  UMEDECIDA  com  no  mínimo,  15%  de
água, em massa †","1.1D","","","","266","20","ZERO","P112 (a)","PP45","",""
"0073","DETONADORES PARA MUNIÇÃO †","1.1B","","","","","20","ZERO","P133","","",""
"0074","DIAZODINITROFENOL, UMEDECIDO com no mínimo 40% de água, ou mistura de álcool e água, em massa †","1.1A","","","","266","ZERO","ZERO","P110 (a) ou (b)","PP42","",""
"0075","DINITRATO DE DIETILENOGLICOL, INSENSIBILIZADO com no mínimo 25% de insensibilizante não volátil e insolúvel em água, em massa †","1.1D","","","","266","20","ZERO","P115","PP53 PP54 PP57
PP58","",""
"0076","DINITROFENOL, seco ou umedecido com menos de 15% de água, em massa †","1.1D","6.1","","","","20","ZERO","P112 (a), (b) ou (c)","PP26","",""
"0077","DINITROFENOLATOS, metais alcalinos, secos ou umedecidos com menos de 15% de água, em massa †","1.3C","6.1","","","","20","ZERO","P114 (a) ou (b)","PP26","",""
"0078","DINITRORESORCINOL, seco ou umedecido com menos de 15% de água, em massa †","1.1D","","","","","20","ZERO","P112 (a), (b) ou (c)","PP26","",""
"0079","HEXANITRODIFENILAMINA (DIPICRILAMINA; HEXIL) †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0081","EXPLOSIVOS DE DEMOLIÇÃO, TIPO A †","1.1D","","","","","20","ZERO","P116","PP63
PP66","",""
"0082","EXPLOSIVOS DE DEMOLIÇÃO, TIPO B †","1.1D","","","","","20","ZERO","P116
IBC100","PP61 PP62 B9","",""
"0083","EXPLOSIVOS DE DEMOLIÇÃO, TIPO C †","1.1D","","","","267","20","ZERO","P116","","",""
"0084","EXPLOSIVOS DE DEMOLIÇÃO, TIPO D †","1.1D","","","","","20","ZERO","P116","","",""
"0092","FACHOS DE SINALIZAÇÃO, SUPERFÍCIE †","1.3G","","","","","20","ZERO","P135","","",""
"0093","FACHOS DE SINALIZAÇÃO, AÉREOS †","1.3G","","","","","20","ZERO","P135","","",""
"0094","COMPOSIÇÃO ILUMINANTE EM PÓ †","1.1G","","","","","20","ZERO","P113","PP49","",""
"0099","DISPOSITIVOS DE FRATURAMENTO, EXPLOSIVOS para poços de petróleo, sem detonador †","1.1D","","","","","20","ZERO","P134
LP102","","",""
"0101","ESTOPIM, NÃO DETONANTE †","1.3G","","","","","20","ZERO","P140","PP74
PP75","",""
"0102","CORDEL (ESTOPIM), DETONANTE, com revestimento metálico †","1.2D","","","","","20","ZERO","P139","PP71","",""
"0103","ESTOPIM, ACENDEDOR, tubular, com revestimento metálico †","1.4G","","","","","333","ZERO","P140","","",""
"0104","CORDEL (ESTOPIM), DETONANTE, DE EFEITO SUAVE, com revestimento metálico †","1.4D","","","","","333","ZERO","P139","PP71","",""
"0105","ESTOPIM, DE SEGURANÇA †","1.4S","","","","","ILIMITADA","ZERO","P140","PP73","",""
"0106","ESTOPILHA, DE DETONAÇÃO †","1.1B","","","","","20","ZERO","P141","","",""
"0107","ESTOPILHA, DE DETONAÇÃO †","1.2B","","","","","20","ZERO","P141","","",""
"0110","GRANADAS, PARA EXERCÍCIO, manuais ou para fuzil †","1.4S","","","","","ILIMITADA","ZERO","P141","","",""
"0113","GUANIL NITROSAMINO-GUANILIDENO HIDRAZINA, UMEDECIDA com no mínimo 30% de água, em massa †","1.1A","","","","266","ZERO","ZERO","P110 (a) ou (b)","PP42","",""
"0114","GUANIL NITROSAMINO-GUANILTETRAZENO (TETRAZENO), UMEDECIDO com no mínimo 30% de água, ou mistura de álcool e água, em massa †","1.1A","","","","266","ZERO","ZERO","P110 (a) ou (b)","PP42","",""
"0118","HEXOLITA (HEXOTOL) seca ou umedecida com menos de 15% de água, em massa †","1.1D","","","","","20","ZERO","P112 (a), (b) ou (c)","","",""
"0121","ACENDEDORES†","1.1G","","","","","20","ZERO","P142","","",""
"0124","CANHÕES PARA JATO-PERFURAÇÃO em poços de petróleo, CARREGADOS, sem detonador †","1.1D","","","","","20","ZERO","P101","","",""
"0129","AZIDA DE CHUMBO, UMEDECIDA com no mínimo 20% de água, ou mistura de álcool e água, em massa †","1.1A","","","","266","ZERO","ZERO","P110 (a) ou (b)","PP42","",""
"0130","ESTIFINATO DE CHUMBO (TRINITRORESORCINATO DE CHUMBO), UMEDECIDO com no mínimo 20% de água, ou
mistura de álcool e água, em massa †","1.1A","","","","266","ZERO","ZERO","P110 (a) ou (b)","PP42","",""
"0131","ACENDEDORES, ESTOPIM †","1.4S","","","","","ILIMITADA","ZERO","P142","","",""
"0132","SAIS METÁLICOS DEFLAGRANTES DE NITRODERIVADOS AROMÁTICOS, N.E. †","1.3C","","","","","20","ZERO","P114 (a) ou (b)","PP26","",""
"0133","HEXANITRATO  DE  MANITOL  (NITROMANITA),  UMEDECIDO com no mínimo  40% de  água, ou  mistura de  álcool e água, em massa †","1.1D","","","","266","20","ZERO","P112 (a)","","",""
"0135","FULMINATO DE MERCÚRIO, UMEDECIDO com no mínimo 20% de água, ou mistura de álcool e água, em massa †","1.1A","","","","266","ZERO","ZERO","P110 (a) ou (b)","PP42","",""
"0136","MINAS com carga de ruptura †","1.1F","","","","","20","ZERO","P130","","",""
"0137","MINAS com carga de ruptura †","1.1D","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0138","MINAS com carga de ruptura †","1.2D","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0143","NITROGLICERINA, INSENSIBILIZADA com no mínimo 40% de insensibilizante não-volátil e insolúvel em água, em massa
†","1.1D","6.1","","","266
271","20","ZERO","P115","PP53 PP54 PP57
PP58","",""
"0144","NITROGLICERINA, EM SOLUÇÃO ALCOÓLICA com mais de 1% e até 10% de nitroglicerina †","1.1D","","","","358","20","ZERO","P115","PP45 PP55 PP56 PP59
PP60","",""
"0146","NITROAMIDO, seco ou umedecido com menos de 20% de água, em massa †","1.1D","","","","","20","ZERO","P112 (a), (b) ou (c)","","",""
"0147","NITROURÉIA †","1.1D","","","","","20","ZERO","P112 (b)","","",""
"0150","TETRANITRATO  DE  PENTAERITRITA  (TETRANITRATO  DE  PENTAERITRITOL;  PETN),  UMEDECIDO  com  no mínimo 25% de água, em massa, ou TETRANITRATO DE PENTAERITRITA (TETRANITRATO DE PENTAERITRITOL;
PETN), INSENSIBILIZADO com, no mínimo, 15% de insensibilizante, em massa †","1.1D","","","","266","20","ZERO","P112 (a) ou (b)","","",""
"0151","PENTOLITA, seca ou umedecida com menos de 15% de água, em massa †","1.1D","","","","","20","ZERO","P112 (a), (b) ou (c)","","",""
"0153","TRINITROANILINA (PICRAMIDA) †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0154","TRINITROFENOL (ÁCIDO PÍCRICO), seco ou umedecido com menos de 30% de água, em massa †","1.1D","","","","","20","ZERO","P112 (a), (b) ou (c)","PP26","",""
"0155","TRINITROCLOROBENZENO (CLORETO DE PICRILA) †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0159","PÓLVORA EM PASTA, UMEDECIDA com no mínimo 25% de água, em massa †","1.3C","","","","266","20","ZERO","P111","PP43","",""
"0160","PÓLVORA, SEM FUMAÇA†","1.1C","","","","","20","ZERO","P114 (b)","PP50
PP52","",""
"0161","PÓLVORA, SEM FUMAÇA†","1.3C","","","","","20","ZERO","P114 (b)","PP50","",""
"","","","","","","","","","","PP52","",""
"0167","PROJÉTEIS com carga de ruptura †","1.1F","","","","","20","ZERO","P130","","",""
"0168","PROJÉTIES com carga de ruptura †","1.1D","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0169","PROJÉTEIS com carga de ruptura †","1.2D","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0171","MUNIÇÃO, ILUMINANTE com ou sem ruptor, carga ejetora ou carga propelente  †","1.2G","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0173","DISPOSITIVOS DE ALÍVIO, EXPLOSIVOS †","1.4S","","","","","ILIMITADA","ZERO","P134
LP102","","",""
"0174","REBITES, EXPLOSIVOS  †","1.4S","","","","","ILIMITADA","ZERO","P134
LP102","","",""
"0180","FOGUETES com carga de ruptura †","1.1F","","","","","20","ZERO","P130","","",""
"0181","FOGUETES com carga de ruptura †","1.1E","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0182","FOGUETES com carga de ruptura †","1.2E","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0183","FOGUETES com ogiva inerte †","1.3C","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0186","MOTORES DE FOGUETES †","1.3C","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0190","EXPLOSIVOS, AMOSTRAS, não-iniciantes †","","","","","16
274","ZERO","","P101","","",""
"0191","SINALIZADORES, MANUAIS †","1.4G","","","","","333","ZERO","P135","","",""
"0192","SINALIZADORES, PARA VIAS FÉRREAS, EXPLOSIVOS †","1.1G","","","","","20","ZERO","P135","","",""
"0193","SINALIZADORES, PARA VIAS FÉRREAS, EXPLOSIVOS †","1.4S","","","","","ILIMITADA","ZERO","P135","","",""
"0194","SINALIZADORES, DE EMERGÊNCIA, para navios †","1.1G","","","","","20","ZERO","P135","","",""
"0195","SINALIZADORES, DE EMERGÊNCIA, para navios †","1.3G","","","","","20","ZERO","P135","","",""
"0196","SINALIZADORES, DE FUMAÇA †","1.1G","","","","","20","ZERO","P135","","",""
"0197","SINALIZADORES, DE FUMAÇA †","1.4G","","","","","333","ZERO","P135","","",""
"0204","DISPOSITIVOS DE SONDAGEM, EXPLOSIVOS †","1.2F","","","","","20","ZERO","P134
LP102","","",""
"0207","TETRANITROANILINA †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0208","TRINITROFENIL-METILNITRAMINA (TETRIL) †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0209","TRINITROTOLUENO (TNT), seco ou umedecido com menos de 30% de água, em massa †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","PP46","",""
"0212","TRAÇANTES PARA MUNIÇÃO †","1.3G","","","","","20","ZERO","P133","PP69","",""
"0213","TRINITROANISOL †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0214","TRINITROBENZENO, seco ou umedecido com menos de 30% de água, em massa †","1.1D","","","","","20","ZERO","P112 (a), (b) ou (c)","","",""
"0215","ÁCIDO TRINITROBENZÓICO, seco ou umedecido com menos de 30% de água, em massa †","1.1D","","","","","20","ZERO","P112 (a), (b) ou (c)","","",""
"0216","TRINITRO-m-CRESOL †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","PP26","",""
"0217","TRINITRONAFTALENO †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0218","TRINITROFENETOL †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0219","TRINITRO-RESORCINOL (ÁCIDO ESTIFÍNICO), seco ou umedecido com menos de 20% de água, ou mistura de álcool e água, em massa †","1.1D","","","","","20","ZERO","P112 (a), (b) ou (c)","PP26","",""
"0220","NITRATO DE URÉIA, seco ou umedecido com menos de 20% de água, em massa †","1.1D","","","","","20","ZERO","P112 (a), (b) ou (c)","","",""
"0221","OGIVAS, TORPEDOS com carga de ruptura †","1.1D","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0222","NITRATO DE AMÔNIO","1.1D","","","","370","20","ZERO","P112 (b) ou (c)","PP47","",""
"","","","","","","","","","","B2","",""
"","","","","","","","","","IBC100","B3","",""
"","","","","","","","","","","B17","",""
"0224","AZIDA DE BÁRIO, seca ou umedecida com menos de 50% de água, em massa †","1.1A","6.1","","","","ZERO","ZERO","P110 (a) ou (b)","PP42","",""
"0225","REFORÇADORES COM DETONADOR †","1.1B","","","","","20","ZERO","P133","PP69","",""
"0226","CICLOTETRAMETILENOTETRANITRAMINA  (HMX;  OCTOGÊNIO)  UMEDECIDA  com no  mínimo  15% de  água, em
massa †","1.1D","","","","266","20","ZERO","P112 (a)","PP45","",""
"0234","DINITRO-o-CRESOLATO DE SÓDIO, seco ou umedecido com menos de 15% de água, em massa †","1.3C","","","","370","20","ZERO","P114 (a) ou (b)","PP26","",""
"0235","PICRAMATO DE SÓDIO, seco ou umedecido com menos de 20% de água, em massa †","1.3C","","","","","20","ZERO","P114 (a) ou (b)","PP26","",""
"0236","PICRAMATO DE ZIRCÔNIO, seco ou umedecido com menos de 20% de água, em massa †","1.3C","","","","","20","ZERO","P114 (a) ou (b)","PP26","",""
"0237","CARGAS, MOLDADAS, FLEXÍVEIS, LINEARES †","1.4D","","","","","333","ZERO","P138","","",""
"0238","FOGUETES, PARA LANÇAMENTO DE LINHA †","1.2G","","","","","20","ZERO","P130","","",""
"0240","FOGUETES, PARA LANÇAMENTO DE LINHA †","1.3G","","","","","20","ZERO","P130","","",""
"0241","EXPLOSIVOS, DE DEMOLIÇÃO, TIPO E †","1.1D","","","","","20","ZERO","P116
IBC100","PP61 PP62 B10","",""
"0242","CARGAS, PROPELENTES, PARA CANHÃO †","1.3C","","","","","20","ZERO","P130","","",""
"0243","MUNIÇÃO INCENDIÁRIA, À BASE DE FÓSFORO BRANCO com ruptor, carga ejetora ou carga propelente †","1.2H","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0244","MUNIÇÃO INCENDIÁRIA, À BASE DE FÓSFORO BRANCO com ruptor, carga ejetora ou carga propelente †","1.3H","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0245","MUNIÇÃO, FUMÍGENA, À BASE DE FÓSFORO BRANCO com ruptor, carga ejetora ou carga propelente †","1.2H","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0246","MUNIÇÃO, FUMÍGENA, À BASE DE FÓSFORO BRANCO com ruptor, carga ejetora ou carga propelente †","1.3H","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0247","MUNIÇÃO, INCENDIÁRIA, líquida ou gel, com ruptor, carga ejetora ou carga propelente †","1.3J","","","","","20","ZERO","P101","","",""
"0248","DISPOSITIVOS, ACIONÁVEIS POR ÁGUA com ruptor, carga ejetora ou carga propelente †","1.2L","","","","274","ZERO","ZERO","P144","PP77","",""
"0249","DISPOSITIVOS, ACIONÁVEIS POR ÁGUA com ruptor, carga ejetora ou carga propelente †","1.3L","","","","274","ZERO","ZERO","P144","PP77","",""
"0250","MOTORES DE FOGUETES, COM LÍQUIDOS HIPERGÓLICOS com ou sem carga ejetora †","1.3L","","","","","ZERO","ZERO","P101","","",""
"0254","MUNIÇÃO, ILUMINANTE com ou sem ruptor, carga ejetora ou carga propelente †","1.3G","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0255","DETONADORES, ELÉTRICOS para demolição †","1.4B","","","","","333","ZERO","P131","","",""
"0257","ESTOPILHA, DE DETONAÇÃO †","1.4B","","","","","333","ZERO","P141","","",""
"0266","OCTOLITA (OCTOL), seca ou umedecida com menos de 15% de água, em massa †","1.1D","","","","","20","ZERO","P112 (a), (b) ou (c)","","",""
"0267","DETONADORES, NÃO ELÉTRICOS para demolição †","1.4B","","","","","333","ZERO","P131","PP68","",""
"0268","REFORÇADORES COM DETONADOR †","1.2B","","","","","20","ZERO","P133","PP69","",""
"0271","CARGAS, PROPELENTES †","1.1C","","","","","20","ZERO","P143","PP76","",""
"0272","CARGAS, PROPELENTES †","1.3C","","","","","20","ZERO","P143","PP76","",""
"0275","CARTUCHOS, PARA DISPOSITIVO MECÂNICO †","1.3C","","","","","20","ZERO","P134
LP102","","",""
"0276","CARTUCHOS, PARA DISPOSITIVO MECÂNICO †","1.4C","","","","","333","ZERO","P134
LP102","","",""
"0277","CARTUCHOS, PARA POÇOS DE PETRÓLEO †","1.3C","","","","","20","ZERO","P134
LP102","","",""
"0278","CARTUCHOS, PARA POÇOS DE PETRÓLEO †","1.4C","","","","","333","ZERO","P134
LP102","","",""
"0279","CARGAS, PROPELENTES, PARA CANHÃO †","1.1C","","","","","20","ZERO","P130","","",""
"0280","MOTORES DE FOGUETES †","1.1C","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0281","MOTORES DE FOGUETES †","1.2C","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0282","NITROGUANIDINA (PICRITA), seca ou umedecida com menos de 20% de água, em massa †","1.1D","","","","","20","ZERO","P112 (a), (b) ou (c)","","",""
"0283","REFORÇADORES sem detonador †","1.2D","","","","","20","ZERO","P132 (a) ou (b)","","",""
"0284","GRANADAS, manuais ou para fuzil, com carga de ruptura †","1.1D","","","","","20","ZERO","P141","","",""
"0285","GRANADAS, manuais ou para fuzil, com carga de ruptura †","1.2D","","","","","20","ZERO","P141","","",""
"0286","OGIVAS, DE FOGUETES com carga de ruptura †","1.1D","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0287","OGIVAS, DE FOGUETES com carga de ruptura †","1.2D","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0288","CARGAS, MOLDADAS, FLEXÍVEIS, LINEARES †","1.1D","","","","","20","ZERO","P138","","",""
"0289","CORDEL, DETONANTE, flexível †","1.4D","","","","","333","ZERO","P139","PP71
PP72","",""
"0290","CORDEL (ESTOPIM), DETONANTE, com revestimento metálico †","1.1D","","","","","20","ZERO","P139","PP71","",""
"0291","BOMBAS com carga de ruptura †","1.2F","","","","","20","ZERO","P130","","",""
"0292","GRANADAS, manuais ou para fuzil, com carga de ruptura †","1.1F","","","","","20","ZERO","P141","","",""
"0293","GRANADAS, manuais ou para fuzil, com carga de ruptura †","1.2F","","","","","20","ZERO","P141","","",""
"0294","MINAS com carga de ruptura †","1.2F","","","","","20","ZERO","P130","","",""
"0295","FOGUETES com carga de ruptura †","1.2F","","","","","20","ZERO","P130","","",""
"0296","DISPOSITIVOS DE SONDAGEM, EXPLOSIVOS †","1.1F","","","","","20","ZERO","P134
LP102","","",""
"0297","MUNIÇÃO, ILUMINANTE com ou sem ruptor, carga ejetora ou carga propelente †","1.4G","","","","","333","ZERO","P130
LP101","PP67
L1","",""
"0299","BOMBAS, FOTO-ILUMINANTES †","1.3G","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0300","MUNIÇÃO, INCENDIÁRIA com ou sem ruptor, carga ejetora ou carga propelente †","1.4G","","","","","333","ZERO","P130
LP101","PP67
L1","",""
"0301","MUNIÇÃO, LACRIMOGÊNEA com ruptor, carga ejetora ou carga propelente †","1.4G","6.1
8","","","","333","ZERO","P130
LP101","PP67
L1","",""
"0303","MUNIÇÃO, FUMÍGENA com ou sem ruptor, carga ejetora ou carga propelente †","1.4G","","","","204","333","ZERO","P130
LP101","PP67
L1","",""
"0305","COMPOSIÇÃO ILUMINANTE EM PÓ †","1.3G","","","","","20","ZERO","P113","PP49","",""
"0306","TRAÇANTES PARA MUNIÇÃO †","1.4G","","","","","333","ZERO","P133","PP69","",""
"0312","CARTUCHOS, PARA SINALIZAÇÃO †","1.4G","","","","","333","ZERO","P135","","",""
"0313","SINALIZADORES, DE FUMAÇA †","1.2G","","","","","20","ZERO","P135","","",""
"0314","ACENDEDORES †","1.2G","","","","","20","ZERO","P142","","",""
"0315","ACENDEDORES †","1.3G","","","","","20","ZERO","P142","","",""
"0316","ESTOPILHA, DE IGNIÇÃO †","1.3G","","","","","20","ZERO","P141","","",""
"0317","ESTOPILHA, DE IGNIÇÃO †","1.4G","","","","","333","ZERO","P141","","",""
"0318","GRANADAS, PARA EXERCÍCIO, manuais ou para fuzil †","1.3G","","","","","20","ZERO","P141","","",""
"0319","INICIADORES, TUBULARES †","1.3G","","","","","20","ZERO","P133","","",""
"0320","INICIADORES, TUBULARES †","1.4G","","","","","333","ZERO","P133","","",""
"0321","CARTUCHOS PARA ARMAS com carga de ruptura †","1.2E","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0322","MOTORES DE FOGUETES, COM LÍQUIDOS HIPERGÓLICOS com ou sem carga ejetora †","1.2L","","","","","ZERO","ZERO","P101","","",""
"0323","CARTUCHOS, PARA DISPOSITIVO MECÂNICO †","1.4S","","","","347","ILIMITADA","ZERO","P134
LP102","","",""
"0324","PROJÉTEIS com carga de ruptura †","1.2F","","","","","20","ZERO","P130","","",""
"0325","ACENDEDORES †","1.4G","","","","","333","ZERO","P142","","",""
"0326","CARTUCHOS PARA ARMAS, FESTIM †","1.1C","","","","","20","ZERO","P130","","",""
"0327","CARTUCHOS PARA ARMAS, FESTIM ou CARTUCHOS, ARMAS PORTÁTEIS, FESTIM †","1.3C","","","","","20","ZERO","P130","","",""
"0328","CARTUCHOS PARA ARMAS, PROJÉTEIS INERTES †","1.2C","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0329","TORPEDOS com carga de ruptura †","1.1E","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0330","TORPEDOS com carga de ruptura †","1.1F","","","","","20","ZERO","P130","","",""
"0331","EXPLOSIVOS, DE DEMOLIÇÃO, TIPO B † (AGENTE, DE DEMOLIÇÃO, TIPO B)","1.5D","","","","","20","ZERO","P116
IBC100","PP61 PP62 PP64","T1","TP1 TP17 TP32"
"0332","EXPLOSIVOS, DE DEMOLIÇÃO, TIPO E † (AGENTE, DE DEMOLIÇÃO, TIPO E)","1.5D","","","","","20","ZERO","P116
IBC100","PP61 PP62","T1","TP1 TP17 TP32"
"0333","FOGOS DE ARTIFÍCIO †","1.1G","","","","","20","ZERO","P135","","",""
"0334","FOGOS DE ARTIFÍCIO †","1.2G","","","","","20","ZERO","P135","","",""
"0335","FOGOS DE ARTIFÍCIO †","1.3G","","","","","20","ZERO","P135","","",""
"0336","FOGOS DE ARTIFÍCIO †","1.4G","","","","","333","ZERO","P135","","",""
"0337","FOGOS DE ARTIFÍCIO †","1.4S","","","","","ILIMITADA","ZERO","P135","","",""
"0338","CARTUCHOS PARA ARMAS, FESTIM ou CARTUCHOS, PARA ARMAS PORTÁTEIS, FESTIM †","1.4C","","","","","333","ZERO","P130","","",""
"0339","CARTUCHOS PARA ARMAS, PROJÉTEIS INERTES ou CARTUCHOS, PARA ARMAS PORTÁTEIS †","1.4C","","","","","333","ZERO","P130","","",""
"0340","NITROCELULOSE, seca ou umedecida com menos de 25% de água (ou álcool), em massa †","1.1D","","","","","20","ZERO","P112 (a) ou (b)","","",""
"0341","NITROCELULOSE, não-modificada, ou plastificada com menos de 18% de substância plastificante, em massa †","1.1D","","","","","20","ZERO","P112 (b)","","",""
